sample_id,medicine,batch_id,manufacturer,measurement_id,ch450,ch500,ch550,ch570,ch600,ch650,reference_medicine,anomaly_score,genuine_threshold,suspicious_threshold,anomaly_status
C001,cocaine,B001,ASD_pipeline_test,1,0.2621094190476191,0.2431655571428571,0.2322692904761905,0.2296608190476191,0.2269496047619047,0.2247503714285714,cocaine,7.0816556523869485,24.96373462924366,34.68823550480694,GENUINE
C003,cocaine,B003,ASD_pipeline_test,1,0.2124137285714285,0.2053293714285714,0.2017549523809524,0.2010211047619047,0.2001452047619048,0.1992278904761904,cocaine,7.856661087190559,24.96373462924366,34.68823550480694,GENUINE
C006,cocaine,B006,ASD_pipeline_test,1,0.2577004571428571,0.2428404571428571,0.2346756476190476,0.2328305666666666,0.2308000476190476,0.2288200095238095,cocaine,3.346801976240613,24.96373462924366,34.68823550480694,GENUINE
C009,cocaine,B009,ASD_pipeline_test,1,0.2319374380952381,0.2117089714285713,0.1999709285714285,0.1970426571428571,0.1938526285714286,0.190828219047619,cocaine,4.578336460921263,24.96373462924366,34.68823550480694,GENUINE
C018,cocaine,B018,ASD_pipeline_test,1,0.2575023380952381,0.2388082904761904,0.2294260619047619,0.2274821190476191,0.2255185666666666,0.2241551761904762,cocaine,12.025825889219618,24.96373462924366,34.68823550480694,GENUINE
C020,cocaine,B020,ASD_pipeline_test,1,0.1993359571428571,0.1939767047619047,0.1912084476190476,0.1906605571428571,0.1900726761904762,0.1900713476190476,cocaine,23.356148492435526,24.96373462924366,34.68823550480694,GENUINE
C025,cocaine,B025,ASD_pipeline_test,1,0.3704473238095238,0.3638554904761905,0.3605278095238095,0.358771319047619,0.3556415619047618,0.3515728047619047,cocaine,341.0659460785537,24.96373462924366,34.68823550480694,COUNTERFEIT
C028,cocaine,B028,ASD_pipeline_test,1,0.3093415095238095,0.2927812857142857,0.2852923095238095,0.283441319047619,0.2810558523809524,0.2786446142857142,cocaine,10.610501590805143,24.96373462924366,34.68823550480694,GENUINE
C029,cocaine,B029,ASD_pipeline_test,1,0.319224719047619,0.2985223428571428,0.2875315714285714,0.2846063333333332,0.2809867476190477,0.2771106333333333,cocaine,9.76964107480083,24.96373462924366,34.68823550480694,GENUINE
C034,cocaine,B034,ASD_pipeline_test,1,0.3179046571428571,0.2938359571428572,0.2792695619047619,0.2757668714285715,0.2718395285714285,0.2677412952380952,cocaine,14.406311885506057,24.96373462924366,34.68823550480694,GENUINE
C036,cocaine,B036,ASD_pipeline_test,1,0.2982462619047619,0.2674644095238094,0.2489040857142856,0.2443114857142857,0.2384727238095238,0.2336668,cocaine,40.57470369117869,24.96373462924366,34.68823550480694,COUNTERFEIT
C044,cocaine,B044,ASD_pipeline_test,1,0.3637780142857143,0.3320664952380952,0.3155296714285714,0.3114809333333332,0.3068713380952381,0.3024432380952381,cocaine,17.44599208041018,24.96373462924366,34.68823550480694,GENUINE
C046,cocaine,B046,ASD_pipeline_test,1,0.2544098619047619,0.233872738095238,0.2220681476190475,0.2191749761904762,0.2162824952380952,0.2136728047619047,cocaine,7.790258323995771,24.96373462924366,34.68823550480694,GENUINE
C048,cocaine,B048,ASD_pipeline_test,1,0.2603603809523809,0.2423429857142857,0.2322102047619048,0.2296688666666666,0.2268207476190476,0.2242241428571428,cocaine,4.871471158747852,24.96373462924366,34.68823550480694,GENUINE
C052,cocaine,B052,ASD_pipeline_test,1,0.2864135190476191,0.2667459761904761,0.2555097952380952,0.2528460666666667,0.2499552666666666,0.2469495571428571,cocaine,2.5755533671860817,24.96373462924366,34.68823550480694,GENUINE
C053,cocaine,B053,ASD_pipeline_test,1,0.2674362476190476,0.2470942333333333,0.2356037523809523,0.2328695619047619,0.2299752714285715,0.2271020380952381,cocaine,2.4001228607370995,24.96373462924366,34.68823550480694,GENUINE
C055,cocaine,B055,ASD_pipeline_test,1,0.2308918523809524,0.2110906142857143,0.1994146714285714,0.1964759476190475,0.1933560761904761,0.1906831809523809,cocaine,9.82192905738634,24.96373462924366,34.68823550480694,GENUINE
C059,cocaine,B059,ASD_pipeline_test,1,0.2396748142857142,0.2288015476190476,0.2238095857142857,0.2227230666666666,0.2215811857142857,0.2208094523809523,cocaine,7.901311224466099,24.96373462924366,34.68823550480694,GENUINE
C061,cocaine,B061,ASD_pipeline_test,1,0.3182990380952381,0.304182119047619,0.2974610476190475,0.2961274428571429,0.2948017666666667,0.2935586380952381,cocaine,5.521120118023647,24.96373462924366,34.68823550480694,GENUINE
C062,cocaine,B062,ASD_pipeline_test,1,0.2694547523809524,0.2526977142857143,0.2445568047619047,0.2428356904761905,0.2412029571428571,0.2398363238095238,cocaine,12.175857413234553,24.96373462924366,34.68823550480694,GENUINE
C064,cocaine,B064,ASD_pipeline_test,1,0.322493138095238,0.3025074285714285,0.2919747476190475,0.2897094095238095,0.2874289095238095,0.2851706142857144,cocaine,3.2067421571530303,24.96373462924366,34.68823550480694,GENUINE
C066,cocaine,B066,ASD_pipeline_test,1,0.2790116333333333,0.2595704,0.2478775809523809,0.2450236190476191,0.2420038857142857,0.2389188714285714,cocaine,4.395674119203789,24.96373462924366,34.68823550480694,GENUINE
C070,cocaine,B070,ASD_pipeline_test,1,0.3075200761904762,0.2910511428571428,0.2815413904761905,0.2794204809523809,0.2771853047619047,0.2750282380952381,cocaine,5.573397959960176,24.96373462924366,34.68823550480694,GENUINE
C074,cocaine,B074,ASD_pipeline_test,1,0.2815178904761904,0.2611631952380952,0.2509865142857143,0.2489198238095238,0.2469946428571428,0.2451060619047619,cocaine,13.767892473891038,24.96373462924366,34.68823550480694,GENUINE
C075,cocaine,B075,ASD_pipeline_test,1,0.3047104428571429,0.282431,0.2702286857142856,0.2675203380952381,0.2648008333333334,0.2619650428571428,cocaine,5.938736961473822,24.96373462924366,34.68823550480694,GENUINE
C076,cocaine,B076,ASD_pipeline_test,1,0.2742764952380953,0.2529679380952381,0.2411444619047618,0.2384360380952381,0.2356656999999999,0.2329066857142857,cocaine,4.805929433265305,24.96373462924366,34.68823550480694,GENUINE
C078,cocaine,B078,ASD_pipeline_test,1,0.2698477285714286,0.2488095857142857,0.2369089095238095,0.2341532,0.2313962333333333,0.2289107,cocaine,4.111747481484714,24.96373462924366,34.68823550480694,GENUINE
M001,MDMA,B081,ASD_pipeline_test,1,0.2866937380952381,0.2636455142857142,0.252822880952381,0.2498849571428571,0.2455732285714285,0.2389329904761905,MDMA,1.8148898580835156,23.71100093157033,25.07760406139704,GENUINE
C001,2C-B,B084,ASD_pipeline_test,1,0.9731272333333332,0.6518082619047619,0.6329071857142857,0.7056446952380953,0.8130349666666667,0.8750604476190479,2C-B,598.4385791187241,6.0000000001466205,6.000000000193291,COUNTERFEIT
C003,2C-B,B086,ASD_pipeline_test,1,0.9771445047619048,0.9259435666666668,0.8638345095238097,0.8311046619047618,0.7883154190476191,0.7543410952380953,2C-B,126.93643344856311,6.0000000001466205,6.000000000193291,COUNTERFEIT
F002,FA,B090,ASD_pipeline_test,1,0.9066981619047618,0.8786822285714286,0.997362961904762,0.7972002142857144,0.2995600809523809,0.3037953047619047,FA,5.736780709118067,3.0000000000000075,3.0000000000000075,COUNTERFEIT
C006,2C-B,B095,ASD_pipeline_test,1,1.188318619047619,0.7570335809523808,0.4772490380952381,0.5166362761904763,0.5400108190476189,0.5494256095238095,2C-B,28.36848541821746,6.0000000001466205,6.000000000193291,COUNTERFEIT
