measurement_id,timestamp,temperature_C,ch450,ch500,ch550,ch570,ch600,ch650
1,2026-08-17T23:48:37.705952,35,17.34926986694336,12.232704162597656,23.947265625,23.123037338256836,23.116491317749023,9.444014549255371
2,2026-08-17T23:48:38.343856,34,17.34926986694336,12.232704162597656,23.947265625,23.123037338256836,23.116491317749023,8.585468292236328
3,2026-08-17T23:48:38.978847,35,17.34926986694336,12.232704162597656,23.947265625,24.04796028137207,22.227394104003906,8.585468292236328
4,2026-08-17T23:48:39.617299,35,18.505887985229492,12.232704162597656,23.947265625,23.123037338256836,22.227394104003906,8.585468292236328
5,2026-08-17T23:48:40.263135,35,18.505887985229492,12.232704162597656,23.947265625,23.123037338256836,22.227394104003906,8.585468292236328
6,2026-08-17T23:48:40.899790,35,18.505887985229492,12.232704162597656,24.945068359375,23.123037338256836,22.227394104003906,8.585468292236328
7,2026-08-17T23:48:41.541329,35,17.34926986694336,12.232704162597656,24.945068359375,24.04796028137207,22.227394104003906,8.585468292236328
8,2026-08-17T23:48:42.181913,35,17.34926986694336,12.232704162597656,23.947265625,23.123037338256836,23.116491317749023,8.585468292236328
9,2026-08-17T23:48:42.825428,35,17.34926986694336,12.232704162597656,24.945068359375,23.123037338256836,23.116491317749023,8.585468292236328
10,2026-08-17T23:48:43.458103,35,17.34926986694336,12.232704162597656,24.945068359375,24.04796028137207,23.116491317749023,8.585468292236328
11,2026-08-17T23:48:44.100959,35,17.34926986694336,12.232704162597656,24.945068359375,24.04796028137207,23.116491317749023,8.585468292236328
12,2026-08-17T23:48:44.744294,35,17.34926986694336,12.232704162597656,24.945068359375,24.04796028137207,23.116491317749023,8.585468292236328
13,2026-08-17T23:48:45.375504,35,17.34926986694336,12.232704162597656,23.947265625,23.123037338256836,23.116491317749023,8.585468292236328
14,2026-08-17T23:48:46.017986,35,17.34926986694336,12.232704162597656,23.947265625,23.123037338256836,23.116491317749023,8.585468292236328
15,2026-08-17T23:48:46.663814,35,17.34926986694336,12.232704162597656,24.945068359375,23.123037338256836,23.116491317749023,8.585468292236328
16,2026-08-17T23:48:47.307368,35,17.34926986694336,12.232704162597656,24.945068359375,24.04796028137207,23.116491317749023,8.585468292236328
17,2026-08-17T23:48:47.952894,35,17.34926986694336,12.232704162597656,24.945068359375,24.04796028137207,23.116491317749023,8.585468292236328
18,2026-08-17T23:48:48.588195,35,17.34926986694336,12.232704162597656,23.947265625,24.04796028137207,23.116491317749023,8.585468292236328
19,2026-08-17T23:48:49.233981,35,18.505887985229492,12.232704162597656,24.945068359375,23.123037338256836,22.227394104003906,8.585468292236328
20,2026-08-17T23:48:49.875423,35,18.505887985229492,12.232704162597656,24.945068359375,24.04796028137207,22.227394104003906,8.585468292236328
