sample_code,dataset_source,medicine,status,ch450,ch500,ch550,ch570,ch600,ch650
K12,K,paracetamol,reference,0.15836376363636362,0.1576067090909091,0.15716413636363635,0.15703113636363636,0.15679020909090907,0.15673128181818183
N1,NCD,paracetamol,reference,0.2039606272727273,0.19940316363636362,0.1976923545454545,0.19738627272727272,0.19702519090909093,0.19608633636363634
N10,NCD,vitamin_c,reference,0.32644823636363635,0.2862462272727273,0.26301144545454547,0.2567802909090909,0.24958793636363633,0.24284922727272729
N18,NCD,aspirin,reference,0.3096944090909091,0.29846087272727273,0.2899856818181818,0.2872955272727273,0.28375623636363634,0.27894351818181823
N29,NCD,paracetamol,adulterated,0.1888993545454545,0.18713190909090907,0.18647505454545454,0.18643419090909094,0.18633265454545456,0.18625141818181817
N31,NCD,paracetamol,adulterated,0.28301348181818176,0.26993679090909095,0.26807230909090907,0.26834247272727274,0.2685325545454545,0.2666528454545455
N36,NCD,paracetamol,adulterated,0.19536224545454542,0.19321997272727273,0.19248227272727272,0.19178167272727276,0.19025247272727272,0.1878751545454545
