sample_id,medicine,batch_id,manufacturer,measurement_id,ch450,ch500,ch550,ch570,ch600,ch650
C002,cocaine,B002,ASD_pipeline_test,1,0.2893171904761905,0.2669619,0.2546314333333334,0.2518499285714285,0.2489780666666666,0.2463200380952381
C004,cocaine,B004,ASD_pipeline_test,1,0.189473019047619,0.1790894666666667,0.173908280952381,0.1727720333333333,0.1714969142857142,0.1705059523809523
C005,cocaine,B005,ASD_pipeline_test,1,0.2187994238095238,0.2043462952380952,0.1962605285714285,0.1942976095238095,0.1920662523809523,0.1900928333333333
C007,cocaine,B007,ASD_pipeline_test,1,0.2641792142857143,0.2474295380952381,0.2378695428571429,0.2356010190476191,0.2330256857142857,0.2302060999999999
C008,cocaine,B008,ASD_pipeline_test,1,0.2640567666666666,0.2470573047619047,0.2378491095238095,0.2358012238095238,0.2336568476190475,0.2319323666666667
C010,cocaine,B010,ASD_pipeline_test,1,0.1902961523809523,0.1852963380952381,0.1830601428571428,0.1826755142857143,0.1822376047619047,0.182131819047619
C011,cocaine,B011,ASD_pipeline_test,1,0.2600533666666667,0.2387428857142856,0.2263873809523809,0.2233275714285714,0.2200027952380952,0.2169940619047619
C012,cocaine,B012,ASD_pipeline_test,1,0.2785460571428571,0.2550707285714285,0.241162419047619,0.2377380809523809,0.2340855095238095,0.2306702666666666
C013,cocaine,B013,ASD_pipeline_test,1,0.2071106809523809,0.1849066952380952,0.1728386428571428,0.169990519047619,0.1670862380952381,0.1648479619047619
C014,cocaine,B014,ASD_pipeline_test,1,0.3056537238095239,0.2954174380952381,0.2905875285714286,0.2897594619047619,0.288781238095238,0.2877019428571429
C015,cocaine,B015,ASD_pipeline_test,1,0.2452689809523809,0.2334552952380952,0.227912438095238,0.2268473619047618,0.2257236857142857,0.2251859809523809
C016,cocaine,B016,ASD_pipeline_test,1,0.2559056857142857,0.2424821857142857,0.2357366619047619,0.2342852142857143,0.2326387714285714,0.2309699428571429
C017,cocaine,B017,ASD_pipeline_test,1,0.2695253333333333,0.2537793857142857,0.2460980571428571,0.2445494571428571,0.2429271809523809,0.2417137047619047
C019,cocaine,B019,ASD_pipeline_test,1,0.2442236904761905,0.2247886,0.2145199904761904,0.212189,0.2097867571428571,0.2078392428571428
C021,cocaine,B021,ASD_pipeline_test,1,0.2809754333333333,0.2584067666666667,0.2456476285714285,0.2427169523809523,0.239579238095238,0.236508138095238
C022,cocaine,B022,ASD_pipeline_test,1,0.2953055238095238,0.2733537714285714,0.2612359285714286,0.2585546666666666,0.2557749047619047,0.2531594523809523
C023,cocaine,B023,ASD_pipeline_test,1,0.2649379238095238,0.2435418142857142,0.2315994428571429,0.2288809809523809,0.2260672619047618,0.2237043476190476
C024,cocaine,B024,ASD_pipeline_test,1,0.2904573095238096,0.2669313857142857,0.2531252428571428,0.2498803714285715,0.2464577666666667,0.2429783523809523
C026,cocaine,B026,ASD_pipeline_test,1,0.3057018047619048,0.2954243952380952,0.2911055428571428,0.2898510761904762,0.2879433095238096,0.2860925476190476
C027,cocaine,B027,ASD_pipeline_test,1,0.2576360285714285,0.2445289333333333,0.2387747904761904,0.2371142428571428,0.2348391761904762,0.2326849666666666
C030,cocaine,B030,ASD_pipeline_test,1,0.1962116047619047,0.1897488809523809,0.186207819047619,0.1854610714285714,0.1846743523809524,0.1843417809523809
C031,cocaine,B031,ASD_pipeline_test,1,0.2592404238095239,0.2394011523809523,0.2295717047619047,0.2271808857142857,0.2243773523809523,0.2217362380952381
C032,cocaine,B032,ASD_pipeline_test,1,0.2551815857142857,0.2348519619047619,0.2241846285714286,0.2215512857142857,0.2185182238095238,0.2157291333333332
C033,cocaine,B033,ASD_pipeline_test,1,0.2552915190476191,0.2337048380952381,0.2215190047619047,0.2184710761904761,0.2150779857142857,0.2120234190476189
C035,cocaine,B035,ASD_pipeline_test,1,0.2610999523809524,0.2392533428571428,0.2267568142857143,0.2236967095238095,0.2204622619047619,0.217530319047619
C037,cocaine,B037,ASD_pipeline_test,1,0.3049694,0.2746637809523808,0.2569573571428571,0.2526113285714286,0.2471849761904761,0.2428301285714285
C038,cocaine,B038,ASD_pipeline_test,1,0.268932,0.238747319047619,0.2214808952380952,0.2171447761904761,0.2117670333333333,0.2075458619047619
C039,cocaine,B039,ASD_pipeline_test,1,0.306704638095238,0.2743737619047618,0.2555319666666666,0.250743619047619,0.2448432,0.2398299047619047
C040,cocaine,B040,ASD_pipeline_test,1,0.2107252999999999,0.2037324809523809,0.1999639619047619,0.1992078952380952,0.1984470666666666,0.1981448238095238
C041,cocaine,B041,ASD_pipeline_test,1,0.3160879523809524,0.2856597857142857,0.2681716904761904,0.2636869238095238,0.2581788714285714,0.2533428142857142
C042,cocaine,B042,ASD_pipeline_test,1,0.2868320761904762,0.255725719047619,0.2391042619047619,0.2350119952380952,0.2302793666666666,0.2267013619047618
C043,cocaine,B043,ASD_pipeline_test,1,0.2184788904761904,0.1890205714285714,0.1733141619047619,0.1693724857142857,0.1647770857142857,0.1615021095238095
C045,cocaine,B045,ASD_pipeline_test,1,0.2260015666666666,0.1996148,0.1857177428571428,0.1822157523809523,0.1783933904761904,0.1756828619047618
C047,cocaine,B047,ASD_pipeline_test,1,0.2935697523809524,0.2777917333333333,0.2687401285714286,0.2665116619047619,0.2638720238095238,0.2611880666666666
C049,cocaine,B049,ASD_pipeline_test,1,0.3019132904761904,0.2832940761904762,0.2729517952380952,0.2705100142857142,0.2677442619047619,0.2647871380952381
C050,cocaine,B050,ASD_pipeline_test,1,0.2105525285714286,0.2010748142857142,0.1960159809523809,0.1949368095238095,0.1939018238095237,0.1933836952380952
C051,cocaine,B051,ASD_pipeline_test,1,0.3246034952380953,0.3044344761904762,0.2932514095238095,0.2907172857142856,0.2880395,0.2852704952380953
C054,cocaine,B054,ASD_pipeline_test,1,0.2205020714285714,0.1995387142857143,0.1874832857142856,0.1845372428571428,0.181462619047619,0.178947119047619
C056,cocaine,B056,ASD_pipeline_test,1,0.2467100095238095,0.2258357380952381,0.2132615904761904,0.2100116714285714,0.2065399571428571,0.2031941904761905
C057,cocaine,B057,ASD_pipeline_test,1,0.2922281142857142,0.271783480952381,0.2592781714285714,0.2560548666666667,0.2525933761904761,0.2491385238095238
C058,cocaine,B058,ASD_pipeline_test,1,0.2643337571428571,0.2580484238095238,0.2548962333333333,0.2542393666666667,0.2534933857142857,0.2528674904761905
C060,cocaine,B060,ASD_pipeline_test,1,0.2087224619047619,0.1961671952380952,0.1893587380952381,0.1878175666666666,0.1862973333333333,0.1853918
C063,cocaine,B063,ASD_pipeline_test,1,0.3188097571428572,0.3010168714285714,0.2914371952380952,0.2893423476190476,0.2872000761904761,0.2850381428571428
C065,cocaine,B065,ASD_pipeline_test,1,0.2795759761904762,0.2601727333333333,0.2491268761904762,0.2464660333333332,0.2436968857142857,0.2409817666666666
C067,cocaine,B067,ASD_pipeline_test,1,0.3120735476190476,0.2907571571428571,0.277849319047619,0.2747259428571428,0.2714316142857143,0.2679348238095238
C068,cocaine,B068,ASD_pipeline_test,1,0.2457612380952381,0.2264189428571428,0.2148954142857142,0.2120503047619047,0.2090915190476191,0.206410119047619
C069,cocaine,B069,ASD_pipeline_test,1,0.2735147523809524,0.2657708952380952,0.2624074571428571,0.2618680285714286,0.2613041761904762,0.2607231761904762
C071,cocaine,B071,ASD_pipeline_test,1,0.3331669142857143,0.3189190380952381,0.3124365809523809,0.3113196714285714,0.3103213999999999,0.309053538095238
C072,cocaine,B072,ASD_pipeline_test,1,0.3017203476190476,0.2856035952380952,0.2783404190476191,0.2770477809523809,0.2758646761904762,0.2744578333333334
C073,cocaine,B073,ASD_pipeline_test,1,0.2413250047619047,0.2224406761904762,0.2134460523809524,0.2115455142857142,0.2096563857142857,0.2078114523809523
C077,cocaine,B077,ASD_pipeline_test,1,0.2574216809523809,0.2359887047619047,0.2237451666666666,0.2208521666666666,0.2179411047619047,0.2151941619047619
C079,cocaine,B079,ASD_pipeline_test,1,0.3116114714285715,0.2920108952380952,0.2819677714285714,0.2798470857142857,0.2776677428571429,0.2753528904761905
