,ch450,ch500,ch550,ch570,ch600,ch650
ch450,1.0,0.8015624391575553,0.9023661993724312,0.9352016380228776,0.9128583088663037,0.8800739336591068
ch500,0.8015624391575553,1.0,0.939743597270779,0.9335829325542395,0.5043723483315151,0.5136159697353352
ch550,0.9023661993724312,0.939743597270779,1.0,0.9958761304352902,0.7165104854525411,0.6107350279349257
ch570,0.9352016380228776,0.9335829325542395,0.9958761304352902,1.0,0.76006185071474,0.6761294980719244
ch600,0.9128583088663037,0.5043723483315151,0.7165104854525411,0.76006185071474,1.0,0.9004155814671831
ch650,0.8800739336591068,0.5136159697353352,0.6107350279349257,0.6761294980719244,0.9004155814671831,1.0
